date,values
5/5/2015,28990
5/6/2015,34020
5/7/2015,26210
5/8/2015,27490
5/9/2015,20930
5/11/2015,38000
5/12/2015,29280
5/13/2015,55380
5/14/2015,4080
5/16/2015,20560
5/17/2015,20450
5/18/2015,31110
5/19/2015,32230
5/20/2015,47390
5/21/2015,32630
5/22/2015,32930
5/23/2015,20840
5/24/2015,11340
5/25/2015,36340
5/26/2015,34340
5/27/2015,31290
5/28/2015,31440
5/29/2015,34400
5/30/2015,21760
5/31/2015,16780
6/1/2015,30840
6/2/2015,33490
6/3/2015,32730
6/4/2015,31030
6/5/2015,35190
6/6/2015,39610
6/7/2015,42190
6/8/2015,33100
6/9/2015,14880
6/11/2015,44800
6/12/2015,14370
6/13/2015,33800
6/14/2015,15990
6/15/2015,30590
6/16/2015,45980
6/17/2015,34800
6/18/2015,25550
6/19/2015,25550
6/20/2015,29060
6/21/2015,31520
6/22/2015,27030
6/23/2015,37910
6/24/2015,34580
6/25/2015,32580
6/26/2015,35480
6/27/2015,30090
6/28/2015,11360
6/29/2015,36140
6/30/2015,31840
7/1/2015,33600
7/2/2015,21120
7/3/2015,27560
7/4/2015,33080
7/5/2015,38120
7/6/2015,33400
7/7/2015,28330
7/8/2015,35970
7/9/2015,31360
7/10/2015,29700
7/11/2015,27530
7/12/2015,24510
7/13/2015,35140
7/14/2015,35400
7/15/2015,42160
7/16/2015,29870
7/17/2015,24090
7/18/2015,28100
7/19/2015,17160
7/20/2015,26900
7/21/2015,40900
7/22/2015,32490
7/23/2015,31250
7/24/2015,11480
7/25/2015,34520
7/26/2015,17710
7/27/2015,47020
7/28/2015,44470
7/29/2015,41730
7/30/2015,38290
7/31/2015,16210
8/1/2015,27060
8/2/2015,11190
8/3/2015,16010
8/4/2015,41370
8/5/2015,40310
8/6/2015,29670
8/7/2015,37930
8/8/2015,29370
8/9/2015,44770
8/10/2015,43420
8/11/2015,17240
8/12/2015,37850
8/13/2015,15902
8/14/2015,46220
8/15/2015,32650
8/16/2015,8450
8/17/2015,24020
8/18/2015,9000
8/19/2015,87670
8/20/2015,50640
8/21/2015,44530
8/22/2015,38900
8/23/2015,7210
8/24/2015,22320
8/25/2015,24490
8/26/2015,32120
8/27/2015,57340
8/28/2015,48070
8/29/2015,21750
8/30/2015,39550
8/31/2015,44050
9/1/2015,5190
9/2/2015,17490
9/3/2015,30550
9/4/2015,33740
9/5/2015,19960
9/6/2015,43390
9/7/2015,42220
9/8/2015,48330
9/9/2015,39560
9/10/2015,36470
9/11/2015,30940
9/12/2015,43040
9/13/2015,15860
9/14/2015,39210
9/15/2015,37260
9/16/2015,45170
9/17/2015,45490
9/18/2015,32810
9/19/2015,31550
9/20/2015,9480
9/21/2015,37940
9/22/2015,41110
9/23/2015,41510
9/24/2015,27480
9/25/2015,20610
9/26/2015,23300
9/27/2015,16900
9/28/2015,11350
9/29/2015,39450
9/30/2015,32930
10/1/2015,31830
10/2/2015,41790
10/3/2015,22270
10/4/2015,42710
10/6/2015,44180
10/7/2015,40650
10/8/2015,54970
10/9/2015,34460
10/10/2015,19750
10/11/2015,41730
10/12/2015,36910
10/13/2015,46440
10/14/2015,44290
10/15/2015,40270
10/16/2015,33410
10/17/2015,30140
10/18/2015,12660
10/19/2015,30350
10/20/2015,37000
10/21/2015,37410
10/22/2015,39990
10/23/2015,42760
10/24/2015,31470
10/25/2015,17560
10/26/2015,32690
10/27/2015,20340
10/28/2015,33220
10/29/2015,40890
